Item,Perishability_Type,Season,Mandi_Location,Wholesale_Base_Price,Temperature_C,Rainfall_MM,Fuel_Price_PKR,Distance_KM,Arrival_Trucks,Demand_Index,Spoilage_Risk,Retail_Price_PKR
Apple (Garcha),Low,Summer,Quetta Satellite Town Mandi,303,34.9,19.1,305.0,346,63,3,Low,325.2
Avocado,Medium,Monsoon,Islamabad Sabzi Mandi,1237,35.9,49.5,272.5,269,67,1,Medium,1437.89
Eggplant (Baingan),Medium,Summer,Lahore Badami Bagh,56,35.7,6.4,278.0,256,54,4,Low,71.15
Pomegranate (Bedana),Low,Summer,Rawalpindi Raja Bazar,841,31.1,38.4,272.5,611,90,2,Medium,1001.94
Orange (Fruiter),Medium,Monsoon,Faisalabad Grain Market,238,36.3,110.3,305.0,307,19,5,Medium,294.33
Turnip (Shalgam),Medium,Summer,Rawalpindi Raja Bazar,67,45.6,6.2,305.0,528,69,5,Medium,110.92
Pear (Nashpati),Medium,Summer,Sukkur Grain Market,150,44.1,29.1,305.0,269,69,2,Medium,189.72
Dates (Rabai),Low,Monsoon,Quetta Satellite Town Mandi,473,37.1,57.5,305.0,302,50,5,Medium,563.58
Sweet Melon (Garma),Medium,Spring,Islamabad Sabzi Mandi,143,23.0,8.8,284.5,419,41,3,Low,168.16
Sweet Melon (Garma),Medium,Monsoon,Faisalabad Grain Market,124,29.1,92.2,305.0,196,74,2,Medium,155.17
Fig (Anjeer Fresh),High,Spring,Multan Goods Market,324,20.0,13.9,284.5,32,75,5,Low,326.19
Wild Plum (Jaman),High,Summer,Karachi Sabzi Mandi,327,41.6,5.2,272.5,171,44,5,Medium,386.26
Zucchini,Medium,Spring,Faisalabad Grain Market,175,21.1,29.0,292.0,111,88,1,Medium,208.05
Onion,Low,Spring,Quetta Satellite Town Mandi,81,27.5,20.3,272.5,513,73,1,Medium,122.33
Peas (Matar),High,Winter,Rawalpindi Raja Bazar,116,17.4,0.3,292.0,607,80,3,Medium,170.49
Apple (Golden),Low,Winter,Hyderabad New Mandi,153,2.1,3.8,305.0,284,65,2,Low,171.18
Tomato,High,Spring,Rawalpindi Raja Bazar,102,23.9,17.1,305.0,486,82,2,Low,132.99
Fig (Anjeer Fresh),High,Winter,Rawalpindi Raja Bazar,319,4.0,1.8,292.0,409,90,3,Low,344.03
Red Bell Pepper,High,Spring,Rawalpindi Raja Bazar,453,27.9,13.9,305.0,277,52,2,Low,470.77
Raw Banana (Kacha Kela),Medium,Winter,Karachi Sabzi Mandi,91,19.9,5.7,278.0,886,73,3,Medium,156.15
